r    alpha
0   2.5938e-09
1   2.8145e-09
2   3.0645e-09
3   3.3495e-09
4   3.6761e-09
5   4.0528e-09
6   4.4907e-09
7   5.0035e-09
8   5.6095e-09
9   6.3326e-09
10   7.2051e-09
11   8.2711e-09
12   9.5925e-09
13   1.1258e-08
14   1.3398e-08
15   1.6211e-08
16   2.0014e-08
17   2.5330e-08
18   3.3084e-08
19   4.5032e-08
20   6.4846e-08
21   1.0132e-07
22   1.8013e-07
23   4.0528e-07
24   1.6211e-06
25   2.5000e-01
26   9.9746e-01
27   9.9873e-01
28   9.9915e-01
29   9.9936e-01
30   9.9949e-01
31   9.9958e-01
32   9.9964e-01
33   9.9968e-01
34   9.9972e-01
35   9.9975e-01
36   9.9977e-01
37   9.9979e-01
38   9.9980e-01
39   9.9982e-01
40   9.9983e-01
41   9.9984e-01
42   9.9985e-01
43   9.9986e-01
44   9.9987e-01
45   9.9987e-01
46   9.9988e-01
47   9.9988e-01
48   9.9989e-01
49   9.9989e-01
50   9.9990e-01
51   9.9990e-01
52   9.9991e-01
53   9.9991e-01
54   9.9991e-01
55   9.9992e-01
56   9.9992e-01
57   9.9992e-01
58   9.9992e-01
59   9.9993e-01
60   9.9993e-01
61   9.9993e-01
62   9.9993e-01
63   9.9993e-01
64   9.9993e-01
65   9.9994e-01
66   9.9994e-01
67   9.9994e-01
68   9.9994e-01
69   9.9994e-01
70   9.9994e-01
71   9.9994e-01
72   9.9995e-01
73   9.9995e-01
74   9.9995e-01
75   9.9995e-01
76   9.9995e-01
77   9.9995e-01
78   9.9995e-01
79   9.9995e-01
80   9.9995e-01
81   9.9995e-01
82   9.9996e-01
83   9.9996e-01
84   9.9996e-01
85   9.9996e-01
86   9.9996e-01
87   9.9996e-01
88   9.9996e-01
89   9.9996e-01
90   9.9996e-01
91   9.9996e-01
92   9.9996e-01
93   9.9996e-01
94   9.9996e-01
95   9.9996e-01
96   9.9996e-01
97   9.9996e-01
98   9.9997e-01
99   9.9997e-01
100   9.9997e-01
