t            alpha       beta        gamma       eta         growth
1.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  9.8626e-10
2.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  1.9725e-09
3.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  2.9588e-09
4.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  3.9451e-09
5.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  4.9313e-09
6.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  5.9176e-09
7.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  6.9038e-09
8.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  7.8901e-09
9.0000e+00   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  8.8764e-09
1.0000e+01   3.0645e-09  3.6788e-01  8.7484e-01  1.0000e+00  9.8626e-09
