x                 y                   z-Growth
0.0000e+00        0.0000e+00         2.0000e+01
1.0000e+00        1.0000e+00         1.9968e+01
2.0000e+00        2.0000e+00         1.9872e+01
3.0000e+00        3.0000e+00         1.9714e+01
4.0000e+00        4.0000e+00         1.9494e+01
5.0000e+00        5.0000e+00         1.9216e+01
6.0000e+00        6.0000e+00         1.8881e+01
7.0000e+00        7.0000e+00         1.8492e+01
8.0000e+00        8.0000e+00         1.8053e+01
9.0000e+00        9.0000e+00         1.7569e+01
1.0000e+01        1.0000e+01         1.7043e+01
1.1000e+01        1.1000e+01         1.6480e+01
1.2000e+01        1.2000e+01         1.5884e+01
1.3000e+01        1.3000e+01         1.5261e+01
1.4000e+01        1.4000e+01         1.4616e+01
1.5000e+01        1.5000e+01         1.3954e+01
1.6000e+01        1.6000e+01         1.3278e+01
1.7000e+01        1.7000e+01         1.2595e+01
1.8000e+01        1.8000e+01         1.1909e+01
1.9000e+01        1.9000e+01         1.1225e+01
2.0000e+01        2.0000e+01         1.0546e+01
2.1000e+01        2.1000e+01         9.8762e+00
2.2000e+01        2.2000e+01         9.2196e+00
2.3000e+01        2.3000e+01         8.5791e+00
2.4000e+01        2.4000e+01         7.9576e+00
2.5000e+01        2.5000e+01         7.3576e+00
2.6000e+01        2.6000e+01         6.7811e+00
2.7000e+01        2.7000e+01         6.2297e+00
2.8000e+01        2.8000e+01         5.7049e+00
2.9000e+01        2.9000e+01         5.2077e+00
3.0000e+01        3.0000e+01         4.7386e+00
3.1000e+01        3.1000e+01         4.2979e+00
3.2000e+01        3.2000e+01         3.8858e+00
3.3000e+01        3.3000e+01         3.5020e+00
3.4000e+01        3.4000e+01         3.1460e+00
3.5000e+01        3.5000e+01         2.8172e+00
3.6000e+01        3.6000e+01         2.5146e+00
3.7000e+01        3.7000e+01         2.2374e+00
3.8000e+01        3.8000e+01         1.9844e+00
3.9000e+01        3.9000e+01         1.7544e+00
4.0000e+01        4.0000e+01         1.5461e+00
4.1000e+01        4.1000e+01         1.3582e+00
4.2000e+01        4.2000e+01         1.1893e+00
4.3000e+01        4.3000e+01         1.0380e+00
4.4000e+01        4.4000e+01         9.0315e-01
4.5000e+01        4.5000e+01         7.8328e-01
4.6000e+01        4.6000e+01         6.7715e-01
4.7000e+01        4.7000e+01         5.8353e-01
4.8000e+01        4.8000e+01         5.0124e-01
4.9000e+01        4.9000e+01         4.2918e-01
5.0000e+01        5.0000e+01         3.6631e-01
5.1000e+01        5.1000e+01         3.1165e-01
5.2000e+01        5.2000e+01         2.6430e-01
5.3000e+01        5.3000e+01         2.2343e-01
5.4000e+01        5.4000e+01         1.8827e-01
5.5000e+01        5.5000e+01         1.5814e-01
5.6000e+01        5.6000e+01         1.3241e-01
5.7000e+01        5.7000e+01         1.1051e-01
5.8000e+01        5.8000e+01         9.1936e-02
5.9000e+01        5.9000e+01         7.6240e-02
6.0000e+01        6.0000e+01         6.3022e-02
6.1000e+01        6.1000e+01         5.1930e-02
6.2000e+01        6.2000e+01         4.2653e-02
6.3000e+01        6.3000e+01         3.4921e-02
6.4000e+01        6.4000e+01         2.8500e-02
6.5000e+01        6.5000e+01         2.3185e-02
6.6000e+01        6.6000e+01         1.8801e-02
6.7000e+01        6.7000e+01         1.5197e-02
6.8000e+01        6.8000e+01         1.2245e-02
6.9000e+01        6.9000e+01         9.8344e-03
7.0000e+01        7.0000e+01         7.8734e-03
7.1000e+01        7.1000e+01         6.2833e-03
7.2000e+01        7.2000e+01         4.9982e-03
7.3000e+01        7.3000e+01         3.9633e-03
7.4000e+01        7.4000e+01         3.1327e-03
7.5000e+01        7.5000e+01         2.4682e-03
7.6000e+01        7.6000e+01         1.9384e-03
7.7000e+01        7.7000e+01         1.5175e-03
7.8000e+01        7.8000e+01         1.1842e-03
7.9000e+01        7.9000e+01         9.2117e-04
8.0000e+01        8.0000e+01         7.1426e-04
8.1000e+01        8.1000e+01         5.5205e-04
8.2000e+01        8.2000e+01         4.2532e-04
8.3000e+01        8.3000e+01         3.2663e-04
8.4000e+01        8.4000e+01         2.5005e-04
8.5000e+01        8.5000e+01         1.9080e-04
8.6000e+01        8.6000e+01         1.4513e-04
8.7000e+01        8.7000e+01         1.1004e-04
8.8000e+01        8.8000e+01         8.3166e-05
8.9000e+01        8.9000e+01         6.2655e-05
9.0000e+01        9.0000e+01         4.7052e-05
9.1000e+01        9.1000e+01         3.5221e-05
9.2000e+01        9.2000e+01         2.6281e-05
9.3000e+01        9.3000e+01         1.9547e-05
9.4000e+01        9.4000e+01         1.4493e-05
9.5000e+01        9.5000e+01         1.0711e-05
9.6000e+01        9.6000e+01         7.8904e-06
9.7000e+01        9.7000e+01         5.7941e-06
9.8000e+01        9.8000e+01         4.2412e-06
9.9000e+01        9.9000e+01         3.0946e-06
1.0000e+02        1.0000e+02         2.2507e-06
